City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Buritis,BR,2022-05-06 02:07:57,-15.6178,-46.4233,72.0,75,13,1.52
239,Asuncion,PY,2022-05-06 02:07:39,-25.3007,-57.6359,58.44,100,0,0.0
240,Luba,GQ,2022-05-06 02:08:00,3.4568,8.5547,79.32,84,100,5.73
241,Antsohihy,MG,2022-05-06 02:08:01,-14.8796,47.9875,71.62,77,2,5.75
242,Atar,MR,2022-05-06 02:08:03,20.5169,-13.0499,78.57,20,2,8.72
243,Voznesenye,RU,2022-05-06 02:08:04,61.0106,35.4781,35.49,79,97,7.85
244,Xai-Xai,MZ,2022-05-06 02:08:06,-25.0519,33.6442,66.83,94,0,5.44
245,Kot Diji,PK,2022-05-06 02:08:08,27.3427,68.7083,82.42,34,0,7.18
246,Dondo,MZ,2022-05-06 02:08:09,-19.6094,34.7431,63.9,89,0,4.25
247,Sao Joao Da Barra,BR,2022-05-06 02:05:43,-21.6403,-41.0511,72.3,84,7,12.73
248,San Ramon De La Nueva Oran,AR,2022-05-06 02:08:12,-23.1322,-64.326,56.8,68,11,2.35
249,Kuloy,RU,2022-05-06 02:08:14,61.0305,42.4925,29.98,85,11,4.38
250,Nantucket,US,2022-05-06 02:08:15,41.2835,-70.0995,53.65,87,0,10.36
251,Altamira,BR,2022-05-06 02:08:17,-3.2033,-52.2064,75.2,94,100,2.26
252,Starotimoshkino,RU,2022-05-06 02:08:19,53.7191,47.5312,32.74,68,0,5.08
253,Bakchar,RU,2022-05-06 02:08:20,57.0186,82.0711,53.17,40,18,6.78
254,Santa Helena,BR,2022-05-06 02:08:22,-2.2311,-45.3,73.87,98,97,2.53
255,Grand-Lahou,CI,2022-05-06 02:08:23,5.1367,-5.0242,79.39,85,80,2.21
256,Ushtobe,KZ,2022-05-06 02:08:28,45.2514,77.9838,66.61,53,5,3.87
257,Harper,LR,2022-05-06 02:08:31,4.375,-7.7169,80.28,85,27,4.76
258,Lagoa,PT,2022-05-06 02:08:32,39.05,-27.9833,61.92,86,100,29.24
259,Eirunepe,BR,2022-05-06 02:08:34,-6.6603,-69.8736,73.83,90,100,0.67
260,Greenfield,US,2022-05-06 02:08:36,42.9614,-88.0126,51.3,78,100,6.91
261,Carauari,BR,2022-05-06 02:08:37,-4.8828,-66.8958,72.66,99,87,2.15
262,Antalya,TR,2022-05-06 02:03:40,36.7741,30.7178,64.09,40,0,10.36
263,Totma,RU,2022-05-06 02:08:40,59.9747,42.7642,29.62,89,14,4.12
264,Kampene,CD,2022-05-06 02:08:42,-3.6,26.6667,67.15,98,100,1.83
265,Los Llanos De Aridane,ES,2022-05-06 02:08:45,28.6585,-17.9182,60.55,78,0,9.22
266,Havelock,US,2022-05-06 02:08:46,34.8791,-76.9013,69.8,89,100,6.91
267,Antalaha,MG,2022-05-06 02:08:48,-14.9003,50.2788,71.96,89,27,6.04
268,Lukiv,UA,2022-05-06 02:08:50,51.0521,25.4006,46.18,73,68,7.38
269,Touros,BR,2022-05-06 02:08:51,-5.1989,-35.4608,77.0,92,100,9.24
270,Soyo,AO,2022-05-06 02:08:53,-6.1349,12.3689,76.87,89,34,3.83
271,Murray,US,2022-05-06 02:06:52,40.6669,-111.888,71.58,29,0,9.22
272,Grand-Santi,GF,2022-05-06 02:08:56,4.25,-54.3833,73.78,99,100,1.9
273,Gondar,ET,2022-05-06 02:08:57,12.6,37.4667,66.29,30,54,5.91
274,Ubinskoye,RU,2022-05-06 02:08:59,55.3068,79.6802,55.42,31,51,10.27
275,Kuytun,RU,2022-05-06 02:09:01,54.3419,101.5036,45.12,35,100,17.49
276,Eden,US,2022-05-06 02:09:02,36.4885,-79.7667,68.95,82,40,0.0
277,Esik,KZ,2022-05-06 02:09:04,43.3552,77.4525,60.22,61,4,1.52
278,Qasigiannguit,GL,2022-05-06 02:09:06,68.8193,-51.1922,19.65,88,3,6.11
279,Troitskoye,RU,2022-05-06 02:09:07,52.9821,84.6757,56.89,35,40,4.45
280,Atasu,KZ,2022-05-06 02:09:09,48.6814,71.6433,59.65,67,3,8.77
281,Sao Jose Da Coroa Grande,BR,2022-05-06 02:09:11,-8.8978,-35.1478,78.22,82,100,9.08
282,Chapais,CA,2022-05-06 02:09:12,49.7834,-74.8492,25.63,82,42,6.13
283,Trapani,IT,2022-05-06 02:09:14,37.8333,12.6667,66.88,61,80,29.89
284,Bronnoysund,NO,2022-05-06 02:09:15,65.4625,12.1997,42.8,93,100,13.0
285,Vila Velha,BR,2022-05-06 02:06:45,-20.3297,-40.2925,75.15,100,100,2.3
286,Chapada Dos Guimaraes,BR,2022-05-06 02:09:18,-15.4606,-55.7497,58.03,49,0,1.59
287,Abu Samrah,SY,2022-05-06 02:09:20,35.3029,37.1841,54.18,85,49,8.75
288,Pangnirtung,CA,2022-05-06 02:09:22,66.1451,-65.7125,9.79,91,31,5.46
289,Saint-Ambroise,CA,2022-05-06 02:09:23,48.5501,-71.3324,36.9,64,8,7.49
290,Isla Mujeres,MX,2022-05-06 02:09:25,21.2311,-86.731,82.45,82,0,11.92
291,Tatui,BR,2022-05-06 02:09:27,-23.3556,-47.8569,59.99,86,98,7.09
292,Sekoma,BW,2022-05-06 02:09:28,-24.4,23.8833,59.58,39,4,4.54
293,Coihaique,CL,2022-05-06 02:09:30,-45.5752,-72.0662,48.15,57,0,5.75
