City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed
256,Dzilam Gonzalez,MX,86.31,clear sky,21.2833,-88.9333,59,6,11.88
257,Calama,CL,59.49,clear sky,-22.4667,-68.9333,14,0,14.97
258,Awbari,LY,72.84,scattered clouds,26.5921,12.7805,18,35,6.71
259,La Tuque,CA,71.85,overcast clouds,47.4334,-72.7824,14,94,8.05
260,Atar,MR,92.71,overcast clouds,20.5169,-13.0499,17,100,2.71
261,Mazeikiai,LT,37.81,few clouds,56.3167,22.3333,69,12,5.97
262,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,61,40,5.75
263,La Ceiba,HN,87.62,few clouds,15.7597,-86.7822,70,20,10.36
264,Les Cayes,HT,76.71,clear sky,18.2,-73.75,83,0,4.76
265,Rajakhera,IN,86.81,clear sky,26.8961,78.1714,34,3,7.4
266,Conceicao Do Araguaia,BR,74.46,clear sky,-8.2578,-49.2647,63,2,0.47
267,Lachi,PK,83.23,scattered clouds,33.3833,71.3386,24,32,3.15
268,Dhadar,IN,85.75,clear sky,28.3305,75.0632,22,4,10.56
269,Muzhi,RU,34.34,overcast clouds,65.3667,64.6667,97,86,8.57
270,Muhos,FI,42.58,overcast clouds,64.808,25.9931,67,97,9.44
271,Savannah Bight,HN,82.44,broken clouds,16.45,-85.85,82,80,24.38
272,Yei,SS,66.97,overcast clouds,4.095,30.6779,96,100,4.14
273,Oktyabrskoye,RU,37.54,broken clouds,43.0645,44.7417,93,84,4.47
274,Pyaozerskiy,RU,38.91,overcast clouds,65.8333,31.1667,82,93,11.92
275,Kalaleh,IR,56.35,scattered clouds,37.3807,55.4916,82,29,0.96
276,Joshimath,IN,58.8,broken clouds,30.5667,79.5667,60,74,5.21
277,Adre,TD,79.14,few clouds,13.4667,22.2,10,11,4.92
278,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,70,20,6.91
279,Borgomanero,IT,62.85,clear sky,45.7024,8.4581,84,9,5.53
280,Lidzbark Warminski,PL,39.43,scattered clouds,54.1259,20.5795,75,30,6.55
281,Verkhniye Kigi,RU,52.66,overcast clouds,55.4083,58.6044,40,100,12.66
